video_id,frame_number,groundtruth_label,predicted_label,predicted_label_probability,probability_P,probability_S,probability_n,mismatch_flag
-FSPre_AG4k,0,?,n,0.988933,0.003661,0.007406,0.988933,*WRONG*
-FSPre_AG4k,6,?,n,0.988462,0.003792,0.007745,0.988462,*WRONG*
-FSPre_AG4k,12,?,n,0.991051,0.003182,0.005767,0.991051,*WRONG*
-FSPre_AG4k,18,?,n,0.992462,0.002735,0.004803,0.992462,*WRONG*
-FSPre_AG4k,24,?,n,0.993186,0.002441,0.004373,0.993186,*WRONG*
-FSPre_AG4k,30,?,n,0.992436,0.002539,0.005025,0.992436,*WRONG*
-FSPre_AG4k,36,?,n,0.992079,0.002556,0.005365,0.992079,*WRONG*
-FSPre_AG4k,42,?,n,0.994155,0.001996,0.003850,0.994155,*WRONG*
-FSPre_AG4k,48,?,n,0.995828,0.001502,0.002670,0.995828,*WRONG*
-FSPre_AG4k,54,?,n,0.995360,0.001478,0.003162,0.995360,*WRONG*
-FSPre_AG4k,60,?,n,0.996795,0.001099,0.002107,0.996795,*WRONG*
-FSPre_AG4k,66,?,n,0.997642,0.000823,0.001535,0.997642,*WRONG*
-FSPre_AG4k,72,?,n,0.996335,0.001218,0.002447,0.996335,*WRONG*
-FSPre_AG4k,78,?,n,0.994954,0.001727,0.003319,0.994954,*WRONG*
-FSPre_AG4k,84,?,n,0.994215,0.002103,0.003682,0.994215,*WRONG*
-FSPre_AG4k,90,?,n,0.994879,0.001900,0.003221,0.994879,*WRONG*
-FSPre_AG4k,96,?,n,0.994452,0.001832,0.003716,0.994452,*WRONG*
-FSPre_AG4k,102,?,n,0.994509,0.001718,0.003773,0.994509,*WRONG*
-FSPre_AG4k,108,?,n,0.989673,0.003516,0.006812,0.989673,*WRONG*
-FSPre_AG4k,114,?,n,0.992358,0.002633,0.005009,0.992358,*WRONG*
-FSPre_AG4k,120,?,n,0.992501,0.002391,0.005108,0.992501,*WRONG*
-FSPre_AG4k,126,?,n,0.995341,0.001578,0.003081,0.995341,*WRONG*
-FSPre_AG4k,132,?,n,0.994252,0.001938,0.003811,0.994252,*WRONG*
-FSPre_AG4k,138,?,n,0.993259,0.002351,0.004390,0.993259,*WRONG*
-FSPre_AG4k,144,?,n,0.993915,0.002009,0.004076,0.993915,*WRONG*
-FSPre_AG4k,150,?,n,0.992550,0.002320,0.005130,0.992550,*WRONG*
-FSPre_AG4k,156,?,n,0.995719,0.001485,0.002795,0.995719,*WRONG*
-FSPre_AG4k,162,?,n,0.994418,0.001953,0.003629,0.994418,*WRONG*
-FSPre_AG4k,168,?,n,0.989891,0.003688,0.006421,0.989891,*WRONG*
-FSPre_AG4k,174,?,n,0.988625,0.004305,0.007070,0.988625,*WRONG*
-FSPre_AG4k,180,?,n,0.988787,0.004304,0.006910,0.988787,*WRONG*
-FSPre_AG4k,186,?,n,0.986741,0.004930,0.008329,0.986741,*WRONG*
-FSPre_AG4k,192,?,n,0.990461,0.003867,0.005672,0.990461,*WRONG*
-FSPre_AG4k,198,?,n,0.985891,0.005458,0.008651,0.985891,*WRONG*
-FSPre_AG4k,204,?,n,0.986530,0.005520,0.007950,0.986530,*WRONG*
-FSPre_AG4k,210,?,n,0.981990,0.007368,0.010642,0.981990,*WRONG*
-FSPre_AG4k,216,?,n,0.985089,0.006305,0.008606,0.985089,*WRONG*
-FSPre_AG4k,222,?,n,0.986173,0.005136,0.008692,0.986173,*WRONG*
-FSPre_AG4k,228,?,n,0.991014,0.002803,0.006182,0.991014,*WRONG*
-FSPre_AG4k,234,?,n,0.986045,0.004953,0.009001,0.986045,*WRONG*
-FSPre_AG4k,240,?,n,0.983442,0.006357,0.010201,0.983442,*WRONG*
-FSPre_AG4k,246,?,n,0.971709,0.011341,0.016950,0.971709,*WRONG*
-FSPre_AG4k,252,?,n,0.965549,0.014595,0.019856,0.965549,*WRONG*
-FSPre_AG4k,258,?,n,0.965161,0.018948,0.015890,0.965161,*WRONG*
-FSPre_AG4k,264,?,n,0.966835,0.016215,0.016950,0.966835,*WRONG*
-FSPre_AG4k,270,?,n,0.972385,0.013748,0.013867,0.972385,*WRONG*
-FSPre_AG4k,276,?,n,0.955302,0.022370,0.022328,0.955302,*WRONG*
-FSPre_AG4k,282,?,n,0.946633,0.027177,0.026190,0.946633,*WRONG*
-FSPre_AG4k,288,?,n,0.948322,0.026645,0.025033,0.948322,*WRONG*
-FSPre_AG4k,294,?,n,0.953823,0.023540,0.022637,0.953823,*WRONG*
-FSPre_AG4k,300,?,n,0.924587,0.045197,0.030215,0.924587,*WRONG*
-FSPre_AG4k,306,?,n,0.940698,0.033609,0.025693,0.940698,*WRONG*
-FSPre_AG4k,312,?,n,0.945016,0.029550,0.025434,0.945016,*WRONG*
-FSPre_AG4k,318,?,n,0.924024,0.041595,0.034381,0.924024,*WRONG*
-FSPre_AG4k,324,?,n,0.937079,0.035529,0.027392,0.937079,*WRONG*
-FSPre_AG4k,330,?,n,0.937812,0.035685,0.026503,0.937812,*WRONG*
-FSPre_AG4k,336,?,n,0.934419,0.039361,0.026221,0.934419,*WRONG*
-FSPre_AG4k,342,?,n,0.918225,0.052154,0.029622,0.918225,*WRONG*
-FSPre_AG4k,348,?,n,0.932551,0.044587,0.022862,0.932551,*WRONG*
-FSPre_AG4k,354,?,n,0.944826,0.035071,0.020103,0.944826,*WRONG*
-FSPre_AG4k,360,?,n,0.973388,0.013870,0.012742,0.973388,*WRONG*
-FSPre_AG4k,366,?,n,0.978101,0.010923,0.010977,0.978101,*WRONG*
-FSPre_AG4k,372,?,n,0.972844,0.015808,0.011348,0.972844,*WRONG*
-FSPre_AG4k,378,?,n,0.985771,0.005493,0.008736,0.985771,*WRONG*
-FSPre_AG4k,384,?,n,0.989980,0.004337,0.005683,0.989980,*WRONG*
-FSPre_AG4k,390,?,n,0.987828,0.005369,0.006802,0.987828,*WRONG*
-FSPre_AG4k,396,?,n,0.977708,0.009663,0.012628,0.977708,*WRONG*
-FSPre_AG4k,402,?,n,0.976253,0.010222,0.013525,0.976253,*WRONG*
-FSPre_AG4k,408,?,n,0.975619,0.010341,0.014040,0.975619,*WRONG*
-FSPre_AG4k,414,?,n,0.978729,0.009045,0.012226,0.978729,*WRONG*
-FSPre_AG4k,420,?,n,0.974559,0.010498,0.014943,0.974559,*WRONG*
-FSPre_AG4k,426,?,n,0.974284,0.010532,0.015184,0.974284,*WRONG*
-FSPre_AG4k,432,?,n,0.958936,0.018534,0.022530,0.958936,*WRONG*
-FSPre_AG4k,438,?,n,0.974288,0.011267,0.014445,0.974288,*WRONG*
-FSPre_AG4k,444,?,n,0.980050,0.008673,0.011277,0.980050,*WRONG*
-FSPre_AG4k,450,?,n,0.979632,0.008578,0.011790,0.979632,*WRONG*
-FSPre_AG4k,456,?,n,0.982083,0.007338,0.010579,0.982083,*WRONG*
-FSPre_AG4k,462,?,n,0.982863,0.006741,0.010396,0.982863,*WRONG*
-FSPre_AG4k,468,?,n,0.978846,0.008259,0.012895,0.978846,*WRONG*
-FSPre_AG4k,474,?,n,0.977925,0.008919,0.013156,0.977925,*WRONG*
-FSPre_AG4k,480,?,n,0.979047,0.008532,0.012421,0.979047,*WRONG*
-FSPre_AG4k,486,?,n,0.978731,0.008610,0.012659,0.978731,*WRONG*
-FSPre_AG4k,492,?,n,0.981549,0.007865,0.010586,0.981549,*WRONG*
-FSPre_AG4k,498,?,n,0.986829,0.006033,0.007138,0.986829,*WRONG*
-FSPre_AG4k,504,?,n,0.985913,0.006500,0.007587,0.985913,*WRONG*
-FSPre_AG4k,510,?,n,0.981888,0.008331,0.009781,0.981888,*WRONG*
-FSPre_AG4k,516,?,n,0.993936,0.002417,0.003647,0.993936,*WRONG*
-FSPre_AG4k,522,?,n,0.991124,0.003286,0.005590,0.991124,*WRONG*
-FSPre_AG4k,528,?,n,0.991529,0.003298,0.005173,0.991529,*WRONG*
-FSPre_AG4k,534,?,n,0.991945,0.003135,0.004919,0.991945,*WRONG*
-FSPre_AG4k,540,?,n,0.986726,0.005284,0.007990,0.986726,*WRONG*
-FSPre_AG4k,546,?,n,0.988513,0.004171,0.007316,0.988513,*WRONG*
-FSPre_AG4k,552,?,n,0.994294,0.001800,0.003906,0.994294,*WRONG*
-FSPre_AG4k,558,?,n,0.993431,0.002197,0.004372,0.993431,*WRONG*
-FSPre_AG4k,564,?,n,0.994151,0.002099,0.003750,0.994151,*WRONG*
-FSPre_AG4k,570,?,n,0.988402,0.004288,0.007310,0.988402,*WRONG*
-FSPre_AG4k,576,?,n,0.991918,0.002741,0.005341,0.991918,*WRONG*
-FSPre_AG4k,582,?,n,0.987775,0.004355,0.007870,0.987775,*WRONG*
-FSPre_AG4k,588,?,n,0.989147,0.003629,0.007224,0.989147,*WRONG*
-FSPre_AG4k,594,?,n,0.989540,0.003973,0.006486,0.989540,*WRONG*
-FSPre_AG4k,600,?,n,0.989757,0.003961,0.006282,0.989757,*WRONG*
-FSPre_AG4k,606,?,n,0.986543,0.005153,0.008304,0.986543,*WRONG*
-FSPre_AG4k,612,?,n,0.986733,0.005022,0.008245,0.986733,*WRONG*
-FSPre_AG4k,618,?,n,0.988777,0.004231,0.006991,0.988777,*WRONG*
-FSPre_AG4k,624,?,n,0.984087,0.005795,0.010118,0.984087,*WRONG*
-FSPre_AG4k,630,?,n,0.989059,0.003901,0.007040,0.989059,*WRONG*
-FSPre_AG4k,636,?,n,0.980453,0.006960,0.012587,0.980453,*WRONG*
-FSPre_AG4k,642,?,n,0.979602,0.007292,0.013107,0.979602,*WRONG*
