video_id,frame_number,groundtruth_label,predicted_label,predicted_label_probability,probability_P,probability_S,probability_n,mismatch_flag
3DEzJTxxmlM,0,?,S,0.394791,0.326509,0.394791,0.278700,*WRONG*
3DEzJTxxmlM,6,?,S,0.359723,0.355670,0.359723,0.284607,*WRONG*
3DEzJTxxmlM,12,?,P,0.376365,0.376365,0.355071,0.268564,*WRONG*
3DEzJTxxmlM,18,?,P,0.383525,0.383525,0.351583,0.264892,*WRONG*
3DEzJTxxmlM,24,?,P,0.387809,0.387809,0.350199,0.261992,*WRONG*
3DEzJTxxmlM,30,?,P,0.375736,0.375736,0.352252,0.272012,*WRONG*
3DEzJTxxmlM,36,?,S,0.365591,0.345077,0.365591,0.289332,*WRONG*
3DEzJTxxmlM,42,?,S,0.388727,0.360247,0.388727,0.251026,*WRONG*
3DEzJTxxmlM,48,?,S,0.408857,0.343911,0.408857,0.247232,*WRONG*
3DEzJTxxmlM,54,?,S,0.419019,0.341117,0.419019,0.239864,*WRONG*
3DEzJTxxmlM,60,?,S,0.435427,0.335434,0.435427,0.229140,*WRONG*
3DEzJTxxmlM,66,?,S,0.450769,0.313798,0.450769,0.235433,*WRONG*
3DEzJTxxmlM,72,?,S,0.478088,0.276326,0.478088,0.245586,*WRONG*
3DEzJTxxmlM,78,?,S,0.437966,0.279467,0.437966,0.282567,*WRONG*
3DEzJTxxmlM,84,?,S,0.401688,0.302358,0.401688,0.295954,*WRONG*
3DEzJTxxmlM,90,?,S,0.386967,0.312847,0.386967,0.300186,*WRONG*
3DEzJTxxmlM,96,?,S,0.351835,0.302389,0.351835,0.345775,*WRONG*
3DEzJTxxmlM,102,?,S,0.363427,0.300634,0.363427,0.335939,*WRONG*
3DEzJTxxmlM,108,?,S,0.369820,0.310325,0.369820,0.319855,*WRONG*
3DEzJTxxmlM,114,?,S,0.359870,0.333726,0.359870,0.306404,*WRONG*
3DEzJTxxmlM,120,?,S,0.374098,0.305236,0.374098,0.320666,*WRONG*
3DEzJTxxmlM,126,?,S,0.364384,0.301477,0.364384,0.334139,*WRONG*
3DEzJTxxmlM,132,?,S,0.381759,0.294875,0.381759,0.323366,*WRONG*
3DEzJTxxmlM,138,?,n,0.383363,0.265604,0.351033,0.383363,*WRONG*
3DEzJTxxmlM,144,?,n,0.412709,0.246984,0.340306,0.412709,*WRONG*
3DEzJTxxmlM,150,?,n,0.427401,0.221648,0.350951,0.427401,*WRONG*
3DEzJTxxmlM,156,?,n,0.396951,0.242298,0.360751,0.396951,*WRONG*
3DEzJTxxmlM,162,?,S,0.363483,0.288746,0.363483,0.347771,*WRONG*
3DEzJTxxmlM,168,?,P,0.341649,0.341649,0.329565,0.328786,*WRONG*
3DEzJTxxmlM,174,?,n,0.351022,0.344648,0.304330,0.351022,*WRONG*
3DEzJTxxmlM,180,?,S,0.347927,0.316291,0.347927,0.335782,*WRONG*
3DEzJTxxmlM,186,?,S,0.373730,0.341575,0.373730,0.284695,*WRONG*
3DEzJTxxmlM,192,?,n,0.364930,0.315448,0.319621,0.364930,*WRONG*
3DEzJTxxmlM,198,?,n,0.372132,0.294041,0.333828,0.372132,*WRONG*
3DEzJTxxmlM,204,?,n,0.348439,0.333083,0.318479,0.348439,*WRONG*
3DEzJTxxmlM,210,?,n,0.348005,0.314800,0.337194,0.348005,*WRONG*
3DEzJTxxmlM,216,?,S,0.353319,0.320009,0.353319,0.326672,*WRONG*
3DEzJTxxmlM,222,?,n,0.356162,0.312619,0.331219,0.356162,*WRONG*
3DEzJTxxmlM,228,?,n,0.369726,0.310352,0.319921,0.369726,*WRONG*
3DEzJTxxmlM,234,?,n,0.373125,0.309430,0.317445,0.373125,*WRONG*
3DEzJTxxmlM,240,?,n,0.374391,0.286324,0.339285,0.374391,*WRONG*
3DEzJTxxmlM,246,?,n,0.368386,0.272167,0.359447,0.368386,*WRONG*
3DEzJTxxmlM,252,?,n,0.375721,0.271287,0.352992,0.375721,*WRONG*
3DEzJTxxmlM,258,?,n,0.372492,0.266104,0.361403,0.372492,*WRONG*
3DEzJTxxmlM,264,?,S,0.370507,0.270135,0.370507,0.359357,*WRONG*
3DEzJTxxmlM,270,?,S,0.390513,0.270739,0.390513,0.338748,*WRONG*
3DEzJTxxmlM,276,?,S,0.410700,0.259860,0.410700,0.329440,*WRONG*
3DEzJTxxmlM,282,?,S,0.434629,0.249302,0.434629,0.316069,*WRONG*
3DEzJTxxmlM,288,?,S,0.458007,0.257580,0.458007,0.284413,*WRONG*
3DEzJTxxmlM,294,?,S,0.442739,0.236735,0.442739,0.320525,*WRONG*
3DEzJTxxmlM,300,?,S,0.363184,0.312329,0.363184,0.324486,*WRONG*
3DEzJTxxmlM,306,?,S,0.361649,0.346666,0.361649,0.291685,*WRONG*
3DEzJTxxmlM,312,?,P,0.401971,0.401971,0.363664,0.234366,*WRONG*
3DEzJTxxmlM,318,?,S,0.389861,0.364904,0.389861,0.245235,*WRONG*
3DEzJTxxmlM,324,?,S,0.452042,0.312476,0.452042,0.235483,*WRONG*
3DEzJTxxmlM,330,?,S,0.501541,0.249101,0.501541,0.249358,*WRONG*
3DEzJTxxmlM,336,?,S,0.536600,0.239970,0.536600,0.223429,*WRONG*
3DEzJTxxmlM,342,?,S,0.492177,0.274349,0.492177,0.233474,*WRONG*
3DEzJTxxmlM,348,?,S,0.429455,0.330604,0.429455,0.239941,*WRONG*
3DEzJTxxmlM,354,?,S,0.412766,0.305672,0.412766,0.281562,*WRONG*
3DEzJTxxmlM,360,?,S,0.464204,0.257480,0.464204,0.278316,*WRONG*
3DEzJTxxmlM,366,?,S,0.392934,0.290235,0.392934,0.316831,*WRONG*
3DEzJTxxmlM,372,?,S,0.423596,0.283808,0.423596,0.292596,*WRONG*
3DEzJTxxmlM,378,?,S,0.373964,0.291579,0.373964,0.334457,*WRONG*
3DEzJTxxmlM,384,?,S,0.388695,0.295580,0.388695,0.315725,*WRONG*
3DEzJTxxmlM,390,?,S,0.412278,0.305086,0.412278,0.282636,*WRONG*
3DEzJTxxmlM,396,?,S,0.391285,0.227019,0.391285,0.381696,*WRONG*
3DEzJTxxmlM,402,?,S,0.379034,0.243255,0.379034,0.377711,*WRONG*
3DEzJTxxmlM,408,?,S,0.382802,0.238883,0.382802,0.378315,*WRONG*
3DEzJTxxmlM,414,?,S,0.442886,0.220192,0.442886,0.336922,*WRONG*
3DEzJTxxmlM,420,?,S,0.396522,0.219543,0.396522,0.383935,*WRONG*
3DEzJTxxmlM,426,?,S,0.415448,0.216527,0.415448,0.368025,*WRONG*
3DEzJTxxmlM,432,?,S,0.378746,0.251526,0.378746,0.369728,*WRONG*
3DEzJTxxmlM,438,?,S,0.381356,0.238998,0.381356,0.379646,*WRONG*
3DEzJTxxmlM,444,?,S,0.406684,0.261886,0.406684,0.331430,*WRONG*
3DEzJTxxmlM,450,?,n,0.384934,0.268854,0.346212,0.384934,*WRONG*
