video_id,frame_number,groundtruth_label,predicted_label,predicted_label_probability,probability_P,probability_S,probability_n,mismatch_flag
HUMEcnkvhJU,0,?,S,0.444820,0.188815,0.444820,0.366365,*WRONG*
HUMEcnkvhJU,6,?,S,0.459171,0.153718,0.459171,0.387110,*WRONG*
HUMEcnkvhJU,12,?,S,0.445677,0.156105,0.445677,0.398218,*WRONG*
HUMEcnkvhJU,18,?,S,0.456082,0.158222,0.456082,0.385695,*WRONG*
HUMEcnkvhJU,24,?,S,0.458407,0.166123,0.458407,0.375470,*WRONG*
HUMEcnkvhJU,30,?,S,0.429421,0.192596,0.429421,0.377982,*WRONG*
HUMEcnkvhJU,36,?,S,0.415825,0.197919,0.415825,0.386256,*WRONG*
HUMEcnkvhJU,42,?,S,0.423237,0.190845,0.423237,0.385917,*WRONG*
HUMEcnkvhJU,48,?,S,0.426890,0.190145,0.426890,0.382965,*WRONG*
HUMEcnkvhJU,54,?,S,0.424067,0.184608,0.424067,0.391325,*WRONG*
HUMEcnkvhJU,60,?,S,0.413904,0.189529,0.413904,0.396567,*WRONG*
HUMEcnkvhJU,66,?,S,0.398311,0.204443,0.398311,0.397246,*WRONG*
HUMEcnkvhJU,72,?,n,0.415296,0.182179,0.402525,0.415296,*WRONG*
HUMEcnkvhJU,78,?,n,0.433040,0.169345,0.397616,0.433040,*WRONG*
HUMEcnkvhJU,84,?,n,0.417057,0.195627,0.387315,0.417057,*WRONG*
HUMEcnkvhJU,90,?,S,0.406488,0.189737,0.406488,0.403776,*WRONG*
HUMEcnkvhJU,96,?,S,0.410915,0.197125,0.410915,0.391960,*WRONG*
HUMEcnkvhJU,102,?,S,0.402509,0.198074,0.402509,0.399418,*WRONG*
HUMEcnkvhJU,108,?,S,0.411590,0.204931,0.411590,0.383479,*WRONG*
HUMEcnkvhJU,114,?,S,0.427038,0.221956,0.427038,0.351006,*WRONG*
HUMEcnkvhJU,120,?,S,0.418969,0.258115,0.418969,0.322916,*WRONG*
HUMEcnkvhJU,126,?,S,0.421441,0.253456,0.421441,0.325103,*WRONG*
HUMEcnkvhJU,132,?,S,0.432060,0.243263,0.432060,0.324677,*WRONG*
HUMEcnkvhJU,138,?,S,0.425895,0.250212,0.425895,0.323893,*WRONG*
HUMEcnkvhJU,144,?,S,0.446691,0.245618,0.446691,0.307692,*WRONG*
HUMEcnkvhJU,150,?,S,0.427033,0.259807,0.427033,0.313159,*WRONG*
HUMEcnkvhJU,156,?,S,0.448430,0.255170,0.448430,0.296400,*WRONG*
HUMEcnkvhJU,162,?,S,0.429095,0.258368,0.429095,0.312537,*WRONG*
HUMEcnkvhJU,168,?,S,0.460999,0.237581,0.460999,0.301420,*WRONG*
HUMEcnkvhJU,174,?,S,0.469956,0.226121,0.469956,0.303923,*WRONG*
HUMEcnkvhJU,180,?,S,0.444367,0.241456,0.444367,0.314177,*WRONG*
HUMEcnkvhJU,186,?,S,0.427030,0.244822,0.427030,0.328148,*WRONG*
HUMEcnkvhJU,192,?,S,0.447130,0.240784,0.447130,0.312086,*WRONG*
HUMEcnkvhJU,198,?,S,0.455151,0.240168,0.455151,0.304681,*WRONG*
HUMEcnkvhJU,204,?,S,0.429024,0.262659,0.429024,0.308316,*WRONG*
HUMEcnkvhJU,210,?,S,0.410196,0.280399,0.410196,0.309405,*WRONG*
HUMEcnkvhJU,216,?,S,0.409460,0.277234,0.409460,0.313306,*WRONG*
HUMEcnkvhJU,222,?,S,0.394229,0.256661,0.394229,0.349110,*WRONG*
HUMEcnkvhJU,228,?,S,0.377033,0.287913,0.377033,0.335054,*WRONG*
HUMEcnkvhJU,234,?,S,0.365696,0.300413,0.365696,0.333891,*WRONG*
HUMEcnkvhJU,240,?,S,0.384196,0.295778,0.384196,0.320026,*WRONG*
HUMEcnkvhJU,246,?,S,0.404705,0.299929,0.404705,0.295366,*WRONG*
HUMEcnkvhJU,252,?,S,0.406192,0.298320,0.406192,0.295488,*WRONG*
HUMEcnkvhJU,258,?,S,0.413899,0.288302,0.413899,0.297799,*WRONG*
HUMEcnkvhJU,264,?,S,0.413332,0.300279,0.413332,0.286388,*WRONG*
