video_id,frame_number,groundtruth_label,predicted_label,predicted_label_probability,probability_P,probability_S,probability_n,mismatch_flag
HUMEcnkvhJU,0,?,P,0.443903,0.443903,0.335579,0.220518,*WRONG*
HUMEcnkvhJU,6,?,P,0.410061,0.410061,0.390242,0.199697,*WRONG*
HUMEcnkvhJU,12,?,S,0.425964,0.396495,0.425964,0.177541,*WRONG*
HUMEcnkvhJU,18,?,S,0.479990,0.361013,0.479990,0.158998,*WRONG*
HUMEcnkvhJU,24,?,S,0.488492,0.344738,0.488492,0.166771,*WRONG*
HUMEcnkvhJU,30,?,S,0.527278,0.314426,0.527278,0.158296,*WRONG*
HUMEcnkvhJU,36,?,S,0.536767,0.308125,0.536767,0.155108,*WRONG*
HUMEcnkvhJU,42,?,S,0.511627,0.326026,0.511627,0.162347,*WRONG*
HUMEcnkvhJU,48,?,S,0.509144,0.334373,0.509144,0.156483,*WRONG*
HUMEcnkvhJU,54,?,S,0.532172,0.323958,0.532172,0.143870,*WRONG*
HUMEcnkvhJU,60,?,S,0.516019,0.333884,0.516019,0.150098,*WRONG*
HUMEcnkvhJU,66,?,S,0.477402,0.331731,0.477402,0.190867,*WRONG*
HUMEcnkvhJU,72,?,S,0.439022,0.369519,0.439022,0.191459,*WRONG*
HUMEcnkvhJU,78,?,S,0.438729,0.382833,0.438729,0.178439,*WRONG*
HUMEcnkvhJU,84,?,S,0.440840,0.376752,0.440840,0.182409,*WRONG*
HUMEcnkvhJU,90,?,S,0.431992,0.381407,0.431992,0.186601,*WRONG*
HUMEcnkvhJU,96,?,S,0.459477,0.373744,0.459477,0.166779,*WRONG*
HUMEcnkvhJU,102,?,S,0.426909,0.396247,0.426909,0.176845,*WRONG*
HUMEcnkvhJU,108,?,S,0.420606,0.379821,0.420606,0.199574,*WRONG*
HUMEcnkvhJU,114,?,S,0.425908,0.378125,0.425908,0.195967,*WRONG*
HUMEcnkvhJU,120,?,S,0.470946,0.350686,0.470946,0.178368,*WRONG*
HUMEcnkvhJU,126,?,S,0.435719,0.351099,0.435719,0.213182,*WRONG*
HUMEcnkvhJU,132,?,S,0.460076,0.336427,0.460076,0.203497,*WRONG*
HUMEcnkvhJU,138,?,S,0.487090,0.329417,0.487090,0.183493,*WRONG*
HUMEcnkvhJU,144,?,S,0.476310,0.333971,0.476310,0.189719,*WRONG*
HUMEcnkvhJU,150,?,S,0.508276,0.292461,0.508276,0.199264,*WRONG*
HUMEcnkvhJU,156,?,S,0.507006,0.278991,0.507006,0.214003,*WRONG*
HUMEcnkvhJU,162,?,S,0.498818,0.286838,0.498818,0.214343,*WRONG*
HUMEcnkvhJU,168,?,S,0.537312,0.262094,0.537312,0.200593,*WRONG*
HUMEcnkvhJU,174,?,S,0.539055,0.252119,0.539055,0.208826,*WRONG*
HUMEcnkvhJU,180,?,S,0.521695,0.259510,0.521695,0.218795,*WRONG*
HUMEcnkvhJU,186,?,S,0.501013,0.294189,0.501013,0.204798,*WRONG*
HUMEcnkvhJU,192,?,S,0.518125,0.265486,0.518125,0.216389,*WRONG*
HUMEcnkvhJU,198,?,S,0.553982,0.260787,0.553982,0.185231,*WRONG*
HUMEcnkvhJU,204,?,S,0.544951,0.255716,0.544951,0.199333,*WRONG*
HUMEcnkvhJU,210,?,S,0.523331,0.254008,0.523331,0.222661,*WRONG*
HUMEcnkvhJU,216,?,S,0.483427,0.308790,0.483427,0.207783,*WRONG*
HUMEcnkvhJU,222,?,S,0.476687,0.315718,0.476687,0.207595,*WRONG*
HUMEcnkvhJU,228,?,S,0.407881,0.370217,0.407881,0.221902,*WRONG*
HUMEcnkvhJU,234,?,S,0.453549,0.327665,0.453549,0.218787,*WRONG*
HUMEcnkvhJU,240,?,S,0.446874,0.340534,0.446874,0.212592,*WRONG*
HUMEcnkvhJU,246,?,S,0.408546,0.362924,0.408546,0.228530,*WRONG*
HUMEcnkvhJU,252,?,S,0.383411,0.379209,0.383411,0.237380,*WRONG*
HUMEcnkvhJU,258,?,S,0.413499,0.345117,0.413499,0.241383,*WRONG*
HUMEcnkvhJU,264,?,S,0.439397,0.317754,0.439397,0.242849,*WRONG*
HUMEcnkvhJU,270,?,S,0.432624,0.333510,0.432624,0.233866,*WRONG*
HUMEcnkvhJU,276,?,S,0.396032,0.336178,0.396032,0.267789,*WRONG*
HUMEcnkvhJU,282,?,S,0.371244,0.346969,0.371244,0.281787,*WRONG*
HUMEcnkvhJU,288,?,S,0.391141,0.336554,0.391141,0.272306,*WRONG*
HUMEcnkvhJU,294,?,S,0.381357,0.379560,0.381357,0.239083,*WRONG*
HUMEcnkvhJU,300,?,S,0.386626,0.383449,0.386626,0.229925,*WRONG*
HUMEcnkvhJU,306,?,S,0.412214,0.334166,0.412214,0.253619,*WRONG*
HUMEcnkvhJU,312,?,S,0.414706,0.343425,0.414706,0.241869,*WRONG*
HUMEcnkvhJU,318,?,S,0.395956,0.357153,0.395956,0.246891,*WRONG*
HUMEcnkvhJU,324,?,S,0.393276,0.379178,0.393276,0.227547,*WRONG*
HUMEcnkvhJU,330,?,S,0.409181,0.353467,0.409181,0.237352,*WRONG*
HUMEcnkvhJU,336,?,S,0.409960,0.343981,0.409960,0.246059,*WRONG*
HUMEcnkvhJU,342,?,S,0.425553,0.327422,0.425553,0.247026,*WRONG*
HUMEcnkvhJU,348,?,S,0.415142,0.341344,0.415142,0.243514,*WRONG*
HUMEcnkvhJU,354,?,S,0.401216,0.360064,0.401216,0.238720,*WRONG*
HUMEcnkvhJU,360,?,S,0.407878,0.350254,0.407878,0.241867,*WRONG*
HUMEcnkvhJU,366,?,S,0.426464,0.335849,0.426464,0.237686,*WRONG*
HUMEcnkvhJU,372,?,S,0.408064,0.330073,0.408064,0.261862,*WRONG*
HUMEcnkvhJU,378,?,P,0.371942,0.371942,0.308045,0.320013,*WRONG*
HUMEcnkvhJU,384,?,P,0.378367,0.378367,0.335698,0.285935,*WRONG*
HUMEcnkvhJU,390,?,S,0.391540,0.343549,0.391540,0.264912,*WRONG*
HUMEcnkvhJU,396,?,S,0.389699,0.339949,0.389699,0.270352,*WRONG*
HUMEcnkvhJU,402,?,S,0.386495,0.349284,0.386495,0.264221,*WRONG*
HUMEcnkvhJU,408,?,P,0.365338,0.365338,0.356384,0.278278,*WRONG*
HUMEcnkvhJU,414,?,P,0.381617,0.381617,0.319510,0.298874,*WRONG*
HUMEcnkvhJU,420,?,P,0.391991,0.391991,0.298960,0.309050,*WRONG*
HUMEcnkvhJU,426,?,P,0.396236,0.396236,0.286563,0.317201,*WRONG*
HUMEcnkvhJU,432,?,P,0.380786,0.380786,0.277900,0.341314,*WRONG*
HUMEcnkvhJU,438,?,P,0.370134,0.370134,0.267365,0.362501,*WRONG*
HUMEcnkvhJU,444,?,n,0.386984,0.336413,0.276603,0.386984,*WRONG*
HUMEcnkvhJU,450,?,n,0.399704,0.334681,0.265614,0.399704,*WRONG*
HUMEcnkvhJU,456,?,P,0.348347,0.348347,0.309929,0.341724,*WRONG*
HUMEcnkvhJU,462,?,P,0.345644,0.345644,0.342718,0.311638,*WRONG*
HUMEcnkvhJU,468,?,S,0.363805,0.321618,0.363805,0.314576,*WRONG*
HUMEcnkvhJU,474,?,S,0.408891,0.302115,0.408891,0.288994,*WRONG*
HUMEcnkvhJU,480,?,S,0.363320,0.280732,0.363320,0.355947,*WRONG*
HUMEcnkvhJU,486,?,S,0.385260,0.261102,0.385260,0.353638,*WRONG*
HUMEcnkvhJU,492,?,S,0.379817,0.252780,0.379817,0.367402,*WRONG*
HUMEcnkvhJU,498,?,S,0.403785,0.260831,0.403785,0.335384,*WRONG*
HUMEcnkvhJU,504,?,S,0.404419,0.271202,0.404419,0.324378,*WRONG*
HUMEcnkvhJU,510,?,S,0.366915,0.278676,0.366915,0.354410,*WRONG*
HUMEcnkvhJU,516,?,S,0.361452,0.296252,0.361452,0.342297,*WRONG*
HUMEcnkvhJU,522,?,S,0.388156,0.291758,0.388156,0.320086,*WRONG*
HUMEcnkvhJU,528,?,S,0.391910,0.314099,0.391910,0.293991,*WRONG*
HUMEcnkvhJU,534,?,S,0.403071,0.312291,0.403071,0.284638,*WRONG*
HUMEcnkvhJU,540,?,S,0.418118,0.291385,0.418118,0.290497,*WRONG*
HUMEcnkvhJU,546,?,S,0.405142,0.337886,0.405142,0.256972,*WRONG*
HUMEcnkvhJU,552,?,S,0.373561,0.346337,0.373561,0.280103,*WRONG*
HUMEcnkvhJU,558,?,P,0.372481,0.372481,0.318517,0.309002,*WRONG*
HUMEcnkvhJU,564,?,P,0.373762,0.373762,0.371673,0.254566,*WRONG*
HUMEcnkvhJU,570,?,P,0.390574,0.390574,0.350900,0.258526,*WRONG*
HUMEcnkvhJU,576,?,S,0.394569,0.343798,0.394569,0.261633,*WRONG*
HUMEcnkvhJU,582,?,S,0.434244,0.350963,0.434244,0.214793,*WRONG*
HUMEcnkvhJU,588,?,S,0.419577,0.347985,0.419577,0.232438,*WRONG*
HUMEcnkvhJU,594,?,S,0.416796,0.356362,0.416796,0.226842,*WRONG*
HUMEcnkvhJU,600,?,S,0.410022,0.375599,0.410022,0.214379,*WRONG*
HUMEcnkvhJU,606,?,P,0.402279,0.402279,0.367408,0.230312,*WRONG*
HUMEcnkvhJU,612,?,P,0.452446,0.452446,0.310812,0.236742,*WRONG*
HUMEcnkvhJU,618,?,P,0.454013,0.454013,0.273625,0.272362,*WRONG*
HUMEcnkvhJU,624,?,P,0.439619,0.439619,0.295941,0.264440,*WRONG*
HUMEcnkvhJU,630,?,P,0.426367,0.426367,0.294565,0.279068,*WRONG*
HUMEcnkvhJU,636,?,P,0.404702,0.404702,0.318659,0.276639,*WRONG*
HUMEcnkvhJU,642,?,P,0.392190,0.392190,0.380206,0.227603,*WRONG*
HUMEcnkvhJU,648,?,P,0.406188,0.406188,0.396195,0.197617,*WRONG*
HUMEcnkvhJU,654,?,P,0.391805,0.391805,0.380306,0.227889,*WRONG*
HUMEcnkvhJU,660,?,P,0.400703,0.400703,0.394189,0.205108,*WRONG*
HUMEcnkvhJU,666,?,P,0.414410,0.414410,0.376363,0.209227,*WRONG*
HUMEcnkvhJU,672,?,S,0.396612,0.383725,0.396612,0.219663,*WRONG*
HUMEcnkvhJU,678,?,S,0.437875,0.353737,0.437875,0.208387,*WRONG*
HUMEcnkvhJU,684,?,S,0.479768,0.291731,0.479768,0.228501,*WRONG*
HUMEcnkvhJU,690,?,S,0.444454,0.329458,0.444454,0.226089,*WRONG*
HUMEcnkvhJU,696,?,S,0.437282,0.361785,0.437282,0.200933,*WRONG*
HUMEcnkvhJU,702,?,S,0.479637,0.306081,0.479637,0.214281,*WRONG*
HUMEcnkvhJU,708,?,S,0.441536,0.341489,0.441536,0.216975,*WRONG*
HUMEcnkvhJU,714,?,S,0.448515,0.332728,0.448515,0.218757,*WRONG*
HUMEcnkvhJU,720,?,S,0.413851,0.345682,0.413851,0.240467,*WRONG*
HUMEcnkvhJU,726,?,S,0.417898,0.370734,0.417898,0.211368,*WRONG*
HUMEcnkvhJU,732,?,S,0.416646,0.342911,0.416646,0.240443,*WRONG*
HUMEcnkvhJU,738,?,S,0.449605,0.306944,0.449605,0.243451,*WRONG*
HUMEcnkvhJU,744,?,P,0.379912,0.379912,0.326097,0.293991,*WRONG*
HUMEcnkvhJU,750,?,P,0.411422,0.411422,0.357471,0.231107,*WRONG*
HUMEcnkvhJU,756,?,P,0.404235,0.404235,0.317818,0.277947,*WRONG*
HUMEcnkvhJU,762,?,P,0.399782,0.399782,0.337490,0.262728,*WRONG*
HUMEcnkvhJU,768,?,P,0.429801,0.429801,0.296249,0.273950,*WRONG*
HUMEcnkvhJU,774,?,P,0.417914,0.417914,0.356549,0.225537,*WRONG*
HUMEcnkvhJU,780,?,P,0.391257,0.391257,0.377249,0.231494,*WRONG*
HUMEcnkvhJU,786,?,S,0.394100,0.387716,0.394100,0.218185,*WRONG*
HUMEcnkvhJU,792,?,P,0.420864,0.420864,0.338564,0.240572,*WRONG*
HUMEcnkvhJU,798,?,P,0.396657,0.396657,0.342771,0.260572,*WRONG*
HUMEcnkvhJU,804,?,P,0.402739,0.402739,0.366182,0.231079,*WRONG*
HUMEcnkvhJU,810,?,P,0.406302,0.406302,0.361597,0.232100,*WRONG*
HUMEcnkvhJU,816,?,S,0.432374,0.393757,0.432374,0.173869,*WRONG*
HUMEcnkvhJU,822,?,S,0.495056,0.358443,0.495056,0.146500,*WRONG*
HUMEcnkvhJU,828,?,S,0.478461,0.355895,0.478461,0.165644,*WRONG*
HUMEcnkvhJU,834,?,S,0.487037,0.342070,0.487037,0.170893,*WRONG*
HUMEcnkvhJU,840,?,S,0.498931,0.327275,0.498931,0.173794,*WRONG*
HUMEcnkvhJU,846,?,S,0.452404,0.340424,0.452404,0.207172,*WRONG*
HUMEcnkvhJU,852,?,S,0.411248,0.366840,0.411248,0.221911,*WRONG*
HUMEcnkvhJU,858,?,P,0.394147,0.394147,0.361390,0.244462,*WRONG*
HUMEcnkvhJU,864,?,S,0.421614,0.369076,0.421614,0.209310,*WRONG*
HUMEcnkvhJU,870,?,S,0.405861,0.369486,0.405861,0.224653,*WRONG*
HUMEcnkvhJU,876,?,S,0.441357,0.362092,0.441357,0.196551,*WRONG*
HUMEcnkvhJU,882,?,S,0.419241,0.353818,0.419241,0.226941,*WRONG*
HUMEcnkvhJU,888,?,S,0.429560,0.359997,0.429560,0.210443,*WRONG*
HUMEcnkvhJU,894,?,S,0.492013,0.338690,0.492013,0.169298,*WRONG*
HUMEcnkvhJU,900,?,S,0.498427,0.353255,0.498427,0.148318,*WRONG*
HUMEcnkvhJU,906,?,S,0.452834,0.371049,0.452834,0.176117,*WRONG*
HUMEcnkvhJU,912,?,S,0.424046,0.380813,0.424046,0.195141,*WRONG*
HUMEcnkvhJU,918,?,S,0.478057,0.329666,0.478057,0.192277,*WRONG*
HUMEcnkvhJU,924,?,S,0.458375,0.353891,0.458375,0.187734,*WRONG*
HUMEcnkvhJU,930,?,S,0.518038,0.294894,0.518038,0.187068,*WRONG*
HUMEcnkvhJU,936,?,S,0.494123,0.297431,0.494123,0.208446,*WRONG*
HUMEcnkvhJU,942,?,S,0.473612,0.306163,0.473612,0.220225,*WRONG*
HUMEcnkvhJU,948,?,S,0.443094,0.326059,0.443094,0.230848,*WRONG*
HUMEcnkvhJU,954,?,S,0.367286,0.358589,0.367286,0.274125,*WRONG*
HUMEcnkvhJU,960,?,P,0.387381,0.387381,0.343002,0.269617,*WRONG*
HUMEcnkvhJU,966,?,S,0.414225,0.356754,0.414225,0.229021,*WRONG*
HUMEcnkvhJU,972,?,S,0.474355,0.326176,0.474355,0.199469,*WRONG*
HUMEcnkvhJU,978,?,S,0.400280,0.390167,0.400280,0.209553,*WRONG*
HUMEcnkvhJU,984,?,P,0.407463,0.407463,0.351685,0.240852,*WRONG*
HUMEcnkvhJU,990,?,P,0.424907,0.424907,0.382828,0.192265,*WRONG*
HUMEcnkvhJU,996,?,P,0.419758,0.419758,0.385125,0.195117,*WRONG*
HUMEcnkvhJU,1002,?,P,0.427870,0.427870,0.348621,0.223508,*WRONG*
HUMEcnkvhJU,1008,?,P,0.400869,0.400869,0.383448,0.215683,*WRONG*
HUMEcnkvhJU,1014,?,S,0.389966,0.377511,0.389966,0.232522,*WRONG*
HUMEcnkvhJU,1020,?,P,0.389978,0.389978,0.368877,0.241144,*WRONG*
HUMEcnkvhJU,1026,?,P,0.436825,0.436825,0.352452,0.210723,*WRONG*
HUMEcnkvhJU,1032,?,P,0.428048,0.428048,0.360977,0.210976,*WRONG*
HUMEcnkvhJU,1038,?,S,0.444271,0.381132,0.444271,0.174597,*WRONG*
HUMEcnkvhJU,1044,?,S,0.476866,0.327896,0.476866,0.195238,*WRONG*
HUMEcnkvhJU,1050,?,S,0.458279,0.387639,0.458279,0.154083,*WRONG*
HUMEcnkvhJU,1056,?,S,0.422009,0.417666,0.422009,0.160326,*WRONG*
HUMEcnkvhJU,1062,?,P,0.413666,0.413666,0.384722,0.201611,*WRONG*
HUMEcnkvhJU,1068,?,P,0.402586,0.402586,0.390656,0.206758,*WRONG*
HUMEcnkvhJU,1074,?,S,0.433686,0.358359,0.433686,0.207954,*WRONG*
HUMEcnkvhJU,1080,?,S,0.488970,0.328227,0.488970,0.182803,*WRONG*
HUMEcnkvhJU,1086,?,S,0.488198,0.320176,0.488198,0.191627,*WRONG*
HUMEcnkvhJU,1092,?,S,0.456248,0.373864,0.456248,0.169888,*WRONG*
HUMEcnkvhJU,1098,?,S,0.417053,0.392785,0.417053,0.190162,*WRONG*
HUMEcnkvhJU,1104,?,S,0.418895,0.372081,0.418895,0.209023,*WRONG*
HUMEcnkvhJU,1110,?,S,0.392556,0.389850,0.392556,0.217594,*WRONG*
HUMEcnkvhJU,1116,?,P,0.416365,0.416365,0.361790,0.221845,*WRONG*
HUMEcnkvhJU,1122,?,S,0.397393,0.387878,0.397393,0.214729,*WRONG*
HUMEcnkvhJU,1128,?,P,0.431162,0.431162,0.362258,0.206580,*WRONG*
HUMEcnkvhJU,1134,?,P,0.429732,0.429732,0.327133,0.243135,*WRONG*
HUMEcnkvhJU,1140,?,P,0.418927,0.418927,0.272210,0.308863,*WRONG*
HUMEcnkvhJU,1146,?,P,0.341729,0.341729,0.328437,0.329834,*WRONG*
HUMEcnkvhJU,1152,?,S,0.374462,0.324809,0.374462,0.300729,*WRONG*
HUMEcnkvhJU,1158,?,n,0.363870,0.309046,0.327084,0.363870,*WRONG*
HUMEcnkvhJU,1164,?,n,0.385761,0.266571,0.347668,0.385761,*WRONG*
HUMEcnkvhJU,1170,?,n,0.419548,0.249507,0.330945,0.419548,*WRONG*
HUMEcnkvhJU,1176,?,n,0.419905,0.241022,0.339073,0.419905,*WRONG*
HUMEcnkvhJU,1182,?,n,0.394266,0.223827,0.381907,0.394266,*WRONG*
HUMEcnkvhJU,1188,?,n,0.391405,0.240411,0.368183,0.391405,*WRONG*
HUMEcnkvhJU,1194,?,n,0.412627,0.244993,0.342381,0.412627,*WRONG*
HUMEcnkvhJU,1200,?,n,0.411012,0.252638,0.336351,0.411012,*WRONG*
HUMEcnkvhJU,1206,?,n,0.393729,0.252957,0.353313,0.393729,*WRONG*
HUMEcnkvhJU,1212,?,S,0.393688,0.219278,0.393688,0.387034,*WRONG*
HUMEcnkvhJU,1218,?,n,0.435906,0.209537,0.354558,0.435906,*WRONG*
HUMEcnkvhJU,1224,?,n,0.397414,0.233437,0.369149,0.397414,*WRONG*
HUMEcnkvhJU,1230,?,S,0.394269,0.227972,0.394269,0.377759,*WRONG*
HUMEcnkvhJU,1236,?,S,0.436716,0.233920,0.436716,0.329364,*WRONG*
HUMEcnkvhJU,1242,?,S,0.394543,0.227757,0.394543,0.377700,*WRONG*
HUMEcnkvhJU,1248,?,S,0.426737,0.211478,0.426737,0.361785,*WRONG*
HUMEcnkvhJU,1254,?,S,0.428372,0.205589,0.428372,0.366039,*WRONG*
HUMEcnkvhJU,1260,?,S,0.425207,0.221283,0.425207,0.353511,*WRONG*
HUMEcnkvhJU,1266,?,n,0.381683,0.247136,0.371181,0.381683,*WRONG*
HUMEcnkvhJU,1272,?,S,0.417095,0.295755,0.417095,0.287150,*WRONG*
HUMEcnkvhJU,1278,?,S,0.419950,0.299598,0.419950,0.280452,*WRONG*
HUMEcnkvhJU,1284,?,S,0.419279,0.270859,0.419279,0.309862,*WRONG*
HUMEcnkvhJU,1290,?,S,0.462964,0.315510,0.462964,0.221526,*WRONG*
HUMEcnkvhJU,1296,?,S,0.424517,0.364318,0.424517,0.211164,*WRONG*
HUMEcnkvhJU,1302,?,S,0.360101,0.358961,0.360101,0.280938,*WRONG*
HUMEcnkvhJU,1308,?,S,0.438222,0.308170,0.438222,0.253608,*WRONG*
HUMEcnkvhJU,1314,?,S,0.442254,0.297313,0.442254,0.260433,*WRONG*
HUMEcnkvhJU,1320,?,S,0.510526,0.250731,0.510526,0.238743,*WRONG*
HUMEcnkvhJU,1326,?,S,0.546836,0.251842,0.546836,0.201322,*WRONG*
HUMEcnkvhJU,1332,?,S,0.480302,0.308965,0.480302,0.210733,*WRONG*
HUMEcnkvhJU,1338,?,S,0.423417,0.325945,0.423417,0.250639,*WRONG*
HUMEcnkvhJU,1344,?,S,0.516880,0.225930,0.516880,0.257189,*WRONG*
HUMEcnkvhJU,1350,?,S,0.466832,0.265295,0.466832,0.267873,*WRONG*
HUMEcnkvhJU,1356,?,S,0.393281,0.307708,0.393281,0.299011,*WRONG*
HUMEcnkvhJU,1362,?,S,0.356706,0.330210,0.356706,0.313085,*WRONG*
HUMEcnkvhJU,1368,?,S,0.405387,0.281235,0.405387,0.313378,*WRONG*
HUMEcnkvhJU,1374,?,S,0.486963,0.252026,0.486963,0.261012,*WRONG*
HUMEcnkvhJU,1380,?,S,0.477607,0.248667,0.477607,0.273726,*WRONG*
