video_id,frame_number,groundtruth_label,predicted_label,predicted_label_probability,probability_P,probability_S,probability_n,mismatch_flag
rjmKJKG5Nx0,0,?,n,0.492595,0.234489,0.272916,0.492595,*WRONG*
rjmKJKG5Nx0,6,?,n,0.489736,0.247937,0.262327,0.489736,*WRONG*
rjmKJKG5Nx0,12,?,n,0.496350,0.237009,0.266640,0.496350,*WRONG*
rjmKJKG5Nx0,18,?,n,0.500086,0.236474,0.263440,0.500086,*WRONG*
rjmKJKG5Nx0,24,?,n,0.487079,0.245471,0.267451,0.487079,*WRONG*
rjmKJKG5Nx0,30,?,n,0.378944,0.366362,0.254694,0.378944,*WRONG*
rjmKJKG5Nx0,36,?,P,0.446025,0.446025,0.258093,0.295882,*WRONG*
rjmKJKG5Nx0,42,?,P,0.471378,0.471378,0.271004,0.257617,*WRONG*
rjmKJKG5Nx0,48,?,P,0.468595,0.468595,0.282297,0.249109,*WRONG*
rjmKJKG5Nx0,54,?,P,0.464377,0.464377,0.287444,0.248179,*WRONG*
rjmKJKG5Nx0,60,?,P,0.461735,0.461735,0.291269,0.246996,*WRONG*
rjmKJKG5Nx0,66,?,P,0.458395,0.458395,0.292842,0.248764,*WRONG*
rjmKJKG5Nx0,72,?,P,0.460515,0.460515,0.298989,0.240496,*WRONG*
rjmKJKG5Nx0,78,?,P,0.466120,0.466120,0.291458,0.242422,*WRONG*
rjmKJKG5Nx0,84,?,P,0.466410,0.466410,0.292750,0.240840,*WRONG*
rjmKJKG5Nx0,90,?,P,0.466950,0.466950,0.291006,0.242044,*WRONG*
rjmKJKG5Nx0,96,?,P,0.464120,0.464120,0.288238,0.247642,*WRONG*
rjmKJKG5Nx0,102,?,P,0.463003,0.463003,0.297272,0.239726,*WRONG*
rjmKJKG5Nx0,108,?,P,0.466832,0.466832,0.301538,0.231631,*WRONG*
rjmKJKG5Nx0,114,?,P,0.480746,0.480746,0.294875,0.224379,*WRONG*
rjmKJKG5Nx0,120,?,P,0.489018,0.489018,0.275586,0.235396,*WRONG*
rjmKJKG5Nx0,126,?,P,0.474525,0.474525,0.284287,0.241188,*WRONG*
rjmKJKG5Nx0,132,?,P,0.508421,0.508421,0.273445,0.218134,*WRONG*
rjmKJKG5Nx0,138,?,P,0.548959,0.548959,0.179016,0.272024,*WRONG*
rjmKJKG5Nx0,144,?,P,0.577522,0.577522,0.170575,0.251903,*WRONG*
rjmKJKG5Nx0,150,?,P,0.522038,0.522038,0.202353,0.275610,*WRONG*
rjmKJKG5Nx0,156,?,P,0.508610,0.508610,0.194505,0.296885,*WRONG*
rjmKJKG5Nx0,162,?,P,0.464710,0.464710,0.196837,0.338454,*WRONG*
rjmKJKG5Nx0,168,?,P,0.413056,0.413056,0.205132,0.381812,*WRONG*
rjmKJKG5Nx0,174,?,P,0.467284,0.467284,0.194830,0.337886,*WRONG*
