video_id,frame_number,groundtruth_label,predicted_label,predicted_label_probability,probability_P,probability_S,probability_n,mismatch_flag
rjmKJKG5Nx0,0,?,n,0.725854,0.137391,0.136755,0.725854,*WRONG*
rjmKJKG5Nx0,6,?,n,0.732268,0.136110,0.131622,0.732268,*WRONG*
rjmKJKG5Nx0,12,?,n,0.749024,0.128682,0.122294,0.749024,*WRONG*
rjmKJKG5Nx0,18,?,n,0.749127,0.131677,0.119196,0.749127,*WRONG*
rjmKJKG5Nx0,24,?,n,0.677697,0.152279,0.170023,0.677697,*WRONG*
rjmKJKG5Nx0,30,?,n,0.667670,0.143533,0.188797,0.667670,*WRONG*
rjmKJKG5Nx0,36,?,n,0.682571,0.141750,0.175679,0.682571,*WRONG*
rjmKJKG5Nx0,42,?,n,0.693591,0.143582,0.162827,0.693591,*WRONG*
rjmKJKG5Nx0,48,?,n,0.702929,0.147018,0.150053,0.702929,*WRONG*
rjmKJKG5Nx0,54,?,n,0.701870,0.156385,0.141745,0.701870,*WRONG*
rjmKJKG5Nx0,60,?,n,0.697385,0.167470,0.135145,0.697385,*WRONG*
rjmKJKG5Nx0,66,?,n,0.672109,0.192373,0.135518,0.672109,*WRONG*
rjmKJKG5Nx0,72,?,n,0.623969,0.223765,0.152266,0.623969,*WRONG*
rjmKJKG5Nx0,78,?,n,0.617073,0.227147,0.155779,0.617073,*WRONG*
rjmKJKG5Nx0,84,?,n,0.613408,0.228467,0.158125,0.613408,*WRONG*
rjmKJKG5Nx0,90,?,n,0.609148,0.230900,0.159952,0.609148,*WRONG*
rjmKJKG5Nx0,96,?,n,0.605651,0.230719,0.163630,0.605651,*WRONG*
rjmKJKG5Nx0,102,?,n,0.516685,0.288539,0.194776,0.516685,*WRONG*
rjmKJKG5Nx0,108,?,n,0.475708,0.315673,0.208619,0.475708,*WRONG*
rjmKJKG5Nx0,114,?,n,0.425350,0.353987,0.220662,0.425350,*WRONG*
rjmKJKG5Nx0,120,?,n,0.406290,0.371649,0.222061,0.406290,*WRONG*
rjmKJKG5Nx0,126,?,n,0.398675,0.355516,0.245810,0.398675,*WRONG*
rjmKJKG5Nx0,132,?,n,0.449517,0.355104,0.195379,0.449517,*WRONG*
rjmKJKG5Nx0,138,?,n,0.496430,0.240210,0.263360,0.496430,*WRONG*
rjmKJKG5Nx0,144,?,n,0.502218,0.208142,0.289640,0.502218,*WRONG*
rjmKJKG5Nx0,150,?,n,0.475486,0.241351,0.283163,0.475486,*WRONG*
rjmKJKG5Nx0,156,?,n,0.488108,0.224133,0.287759,0.488108,*WRONG*
rjmKJKG5Nx0,162,?,n,0.486354,0.233313,0.280332,0.486354,*WRONG*
rjmKJKG5Nx0,168,?,n,0.510076,0.255854,0.234070,0.510076,*WRONG*
rjmKJKG5Nx0,174,?,n,0.452726,0.294097,0.253176,0.452726,*WRONG*
rjmKJKG5Nx0,180,?,n,0.444359,0.287082,0.268560,0.444359,*WRONG*
rjmKJKG5Nx0,186,?,n,0.510250,0.269673,0.220076,0.510250,*WRONG*
rjmKJKG5Nx0,192,?,n,0.484696,0.305285,0.210019,0.484696,*WRONG*
rjmKJKG5Nx0,198,?,n,0.459326,0.329781,0.210892,0.459326,*WRONG*
rjmKJKG5Nx0,204,?,n,0.482566,0.294821,0.222613,0.482566,*WRONG*
rjmKJKG5Nx0,210,?,n,0.555733,0.205641,0.238626,0.555733,*WRONG*
rjmKJKG5Nx0,216,?,n,0.522583,0.231958,0.245459,0.522583,*WRONG*
rjmKJKG5Nx0,222,?,n,0.547702,0.207044,0.245254,0.547702,*WRONG*
rjmKJKG5Nx0,228,?,n,0.561946,0.209765,0.228290,0.561946,*WRONG*
rjmKJKG5Nx0,234,?,n,0.520325,0.257155,0.222520,0.520325,*WRONG*
rjmKJKG5Nx0,240,?,n,0.556527,0.250131,0.193342,0.556527,*WRONG*
rjmKJKG5Nx0,246,?,n,0.503469,0.273271,0.223260,0.503469,*WRONG*
rjmKJKG5Nx0,252,?,n,0.461678,0.300454,0.237868,0.461678,*WRONG*
rjmKJKG5Nx0,258,?,n,0.460549,0.333315,0.206136,0.460549,*WRONG*
rjmKJKG5Nx0,264,?,n,0.455154,0.340150,0.204697,0.455154,*WRONG*
rjmKJKG5Nx0,270,?,n,0.437409,0.363911,0.198680,0.437409,*WRONG*
rjmKJKG5Nx0,276,?,n,0.434452,0.390747,0.174801,0.434452,*WRONG*
rjmKJKG5Nx0,282,?,n,0.419028,0.399490,0.181482,0.419028,*WRONG*
rjmKJKG5Nx0,288,?,n,0.416812,0.415073,0.168115,0.416812,*WRONG*
rjmKJKG5Nx0,294,?,n,0.423836,0.416789,0.159375,0.423836,*WRONG*
rjmKJKG5Nx0,300,?,n,0.426315,0.418954,0.154730,0.426315,*WRONG*
rjmKJKG5Nx0,306,?,n,0.439221,0.422969,0.137810,0.439221,*WRONG*
rjmKJKG5Nx0,312,?,n,0.463721,0.396088,0.140191,0.463721,*WRONG*
rjmKJKG5Nx0,318,?,n,0.449377,0.393741,0.156883,0.449377,*WRONG*
rjmKJKG5Nx0,324,?,n,0.477463,0.366545,0.155992,0.477463,*WRONG*
rjmKJKG5Nx0,330,?,n,0.483346,0.355419,0.161235,0.483346,*WRONG*
rjmKJKG5Nx0,336,?,n,0.483407,0.363726,0.152866,0.483407,*WRONG*
rjmKJKG5Nx0,342,?,n,0.522430,0.348970,0.128599,0.522430,*WRONG*
rjmKJKG5Nx0,348,?,n,0.517996,0.349480,0.132524,0.517996,*WRONG*
rjmKJKG5Nx0,354,?,n,0.524542,0.349364,0.126094,0.524542,*WRONG*
rjmKJKG5Nx0,360,?,n,0.558770,0.296855,0.144375,0.558770,*WRONG*
rjmKJKG5Nx0,366,?,n,0.506911,0.337720,0.155369,0.506911,*WRONG*
rjmKJKG5Nx0,372,?,n,0.510505,0.325233,0.164263,0.510505,*WRONG*
rjmKJKG5Nx0,378,?,n,0.520598,0.317692,0.161710,0.520598,*WRONG*
rjmKJKG5Nx0,384,?,n,0.519720,0.326220,0.154060,0.519720,*WRONG*
rjmKJKG5Nx0,390,?,n,0.536200,0.319749,0.144051,0.536200,*WRONG*
